name,price,depreciation,mileage,brand,carage,brand_encoded,price_scaled,mileage_scaled,depreciation_scaled,carage_scaled,Cluster_KMeans
BMW 2 Series 216d Active Tourer,32800.0,14980.0,71000.0,bmw,9.0,7,-0.6086309523809523,-0.11538461538461539,-0.003169572107765452,0.25,1
Mercedes-Benz S-Class S320L,190800.0,28690.0,89996.0,mercedes-benz,6.0,35,1.7425595238095237,0.12815384615384615,2.1695721077654517,-0.5,0
Suzuki Vitara 1.6A GLX,34800.0,11010.0,166000.0,suzuki,8.0,56,-0.5788690476190477,1.1025641025641026,-0.6323296354992076,0.0,2
BMW X5 xDrive35i 7-Seater (COE till 10/2030),87800.0,14800.0,134589.0,bmw,15.0,7,0.20982142857142858,0.6998589743589744,-0.03169572107765452,1.75,1
Honda Jazz 1.5A (COE till 08/2029),52800.0,11080.0,98000.0,honda,11.0,21,-0.31101190476190477,0.23076923076923078,-0.6212361331220285,0.75,3
Honda Fit 1.3A,77800.0,12400.0,38000.0,honda,5.0,21,0.06101190476190476,-0.5384615384615384,-0.4120443740095087,-0.75,3
Mercedes-Benz E-Class E200d,72800.0,19560.0,130000.0,mercedes-benz,8.0,35,-0.013392857142857142,0.6410256410256411,0.722662440570523,0.0,0
Toyota Corolla Altis 1.6A,34500.0,11340.0,80000.0,toyota,8.0,58,-0.5833333333333334,0.0,-0.5800316957210776,0.0,2
Honda Accord Euro R 2.0M (COE till 05/2027),50800.0,20240.0,0.0,honda,18.0,21,-0.34077380952380953,-1.0256410256410255,0.8304278922345484,2.5,3
Honda Vezel Hybrid 1.5A X,51800.0,16110.0,27499.999999999993,honda,8.0,21,-0.32589285714285715,-0.6730769230769231,0.17591125198098256,0.0,3
Toyota Estima 2.4A Aeras Moonroof,91800.0,17540.0,118000.0,toyota,7.0,58,0.2693452380952381,0.48717948717948717,0.40253565768621236,-0.25,2
Mazda 3 1.5A Deluxe Sunroof,15800.0,13360.0,98000.0,mazda,10.0,34,-0.8616071428571429,0.23076923076923078,-0.25990491283676703,0.5,0
Audi A5 Cabriolet 2.0A TFSI Quattro S-tronic (COE till 11/2030),69800.0,11640.0,0.0,audi,15.0,4,-0.05803571428571429,-1.0256410256410255,-0.5324881141045958,1.75,1
Nissan Note 1.2A DIG-S,15800.0,11750.0,113117.0,nissan,9.0,40,-0.8616071428571429,0.4245769230769231,-0.5150554675118859,0.25,0
BMW 5 Series 520d xDrive M-Sport,85800.0,16300.0,125000.0,bmw,8.0,7,0.1800595238095238,0.5769230769230769,0.20602218700475436,0.0,1
Citroen Grand C4 Picasso Diesel 1.6A BlueHDi Panoramic Roof,30000.0,10290.0,0.0,citroen,8.0,12,-0.6502976190476191,-1.0256410256410255,-0.7464342313787639,0.0,1
Hyundai Avante 1.6A,88800.0,14440.0,62168.0,hyundai,5.0,23,0.22470238095238096,-0.2286153846153846,-0.08874801901743265,-0.75,3
Mitsubishi Pajero 3.8A (COE till 02/2029),59800.0,14140.0,153000.0,mitsubishi,16.0,38,-0.20684523809523808,0.9358974358974359,-0.13629160063391443,2.0,0
Toyota Alphard 2.5A Elegance,180800.0,23590.0,41000.0,toyota,4.0,58,1.59375,-0.5,1.3613312202852614,-1.0,2
Jaguar XE 2.0A TSS,47800.0,16550.0,71000.0,jaguar,9.0,26,-0.3854166666666667,-0.11538461538461539,0.24564183835182252,0.25,3
Mercedes-Benz A-Class A200 Style,35800.0,13560.0,141000.0,mercedes-benz,9.0,35,-0.5639880952380952,0.782051282051282,-0.22820919175911253,0.25,0
Peugeot 3008 1.2A PureTech EAT6 Active,45188.0,12990.0,122000.0,peugeot,8.0,44,-0.42428571428571427,0.5384615384615384,-0.3185419968304279,0.0,0
Audi A4 1.4A TFSI S-tronic Design,33000.0,13750.0,155000.0,audi,9.0,4,-0.6056547619047619,0.9615384615384616,-0.19809825673534073,0.25,1
Toyota Yaris Cross Hybrid 1.5A Active,144888.0,14510.0,12850.0,toyota,1.0,58,1.0593452380952382,-0.860897435897436,-0.07765451664025357,-1.75,2
BMW 3 Series 330i M-Sport,185800.0,24560.0,66700.0,bmw,5.0,7,1.6681547619047619,-0.17051282051282052,1.515055467511886,-0.75,1
Mitsubishi Attrage 1.2A,30800.0,13130.0,86000.0,mitsubishi,8.0,38,-0.6383928571428571,0.07692307692307693,-0.29635499207606975,0.0,0
Mercedes-Benz C-Class C180 Avantgarde,90800.0,18760.0,76099.0,mercedes-benz,7.0,35,0.2544642857142857,-0.050012820512820515,0.595879556259905,-0.25,0
Mitsubishi Colt Version-R 1.5A Turbo (COE till 05/2028),36900.0,10600.0,130000.0,mitsubishi,17.0,38,-0.5476190476190477,0.6410256410256411,-0.6973058637083994,2.25,0
Audi Q3 1.4A TFSI S-tronic,110800.0,18560.0,33232.0,audi,5.0,4,0.5520833333333334,-0.5995897435897436,0.5641838351822503,-0.75,1
Toyota Noah Hybrid 1.8A X,92800.0,20890.0,68987.0,toyota,7.0,58,0.28422619047619047,-0.1411923076923077,0.9334389857369255,-0.25,2
Maserati GranTurismo Sport 4.7A (COE till 11/2032),156000.0,19460.0,100000.0,maserati,12.0,32,1.224702380952381,0.2564102564102564,0.7068145800316957,1.0,0
Hyundai Venue 1.6A GLS S,87000.0,13340.0,60548.0,hyundai,5.0,23,0.19791666666666666,-0.24938461538461537,-0.2630744849445325,-0.75,3
Subaru Forester 2.0i-S EyeSight Sunroof,73500.0,15860.0,90000.0,subaru,7.0,55,-0.002976190476190476,0.1282051282051282,0.13629160063391443,-0.25,2
Hyundai Tucson 2.0A GLS,26800.0,13310.0,0.0,hyundai,9.0,23,-0.6979166666666666,-1.0256410256410255,-0.26782884310618066,0.25,3
BMW X3 sDrive20i M-Sport,182800.0,23770.0,69000.0,bmw,4.0,7,1.6235119047619047,-0.14102564102564102,1.3898573692551506,-1.0,1
Toyota Corolla Altis 1.6A Elegance,78800.0,14340.0,78100.0,toyota,6.0,58,0.07589285714285714,-0.02435897435897436,-0.1045958795562599,-0.5,2
Jaguar XE 2.0A i4,74800.0,15630.0,117500.0,jaguar,7.0,26,0.01636904761904762,0.4807692307692308,0.09984152139461172,-0.25,3
Toyota Vellfire 2.5A Z,137800.0,24520.0,72000.0,toyota,6.0,58,0.9538690476190477,-0.10256410256410256,1.508716323296355,-0.5,2
Mercedes-Benz CLA-Class CLA180 Sunroof,42000.0,18050.0,120000.0,mercedes-benz,9.0,35,-0.47172619047619047,0.5128205128205128,0.48335974643423135,0.25,0
Mitsubishi Lancer 1.6A GLX (COE till 05/2028),32800.0,9340.0,0.0,mitsubishi,17.0,38,-0.6086309523809523,-1.0256410256410255,-0.8969889064976229,2.25,0
Honda Jazz 1.5A RS,25800.0,11890.0,142088.0,honda,9.0,21,-0.7127976190476191,0.796,-0.4928684627575277,0.25,3
Chevrolet Cruze 1.6A (COE till 04/2026),11300.0,7930.000000000001,135000.0,chevrolet,14.0,10,-0.9285714285714286,0.7051282051282052,-1.120443740095087,1.5,1
BMW 2 Series 216i Gran Tourer,54300.0,12840.0,132247.0,bmw,8.0,7,-0.28869047619047616,0.6698333333333333,-0.34231378763866877,0.0,1
Mazda 3 HB 1.5A Sunroof,62000.0,12990.0,89931.0,mazda,6.0,34,-0.17410714285714285,0.12732051282051282,-0.3185419968304279,-0.5,0
Toyota Sienta 1.5A G,104800.0,15320.0,59000.0,toyota,4.0,58,0.46279761904761907,-0.2692307692307692,0.05071315372424723,-1.0,2
Porsche Macan 2.0A PDK (New 10-yr COE),173000.0,17290.0,119000.0,porsche,11.0,46,1.4776785714285714,0.5,0.3629160063391442,0.75,0
Mercedes-Benz B-Class B200 Progressive,111800.0,19180.0,78995.0,mercedes-benz,6.0,35,0.5669642857142857,-0.012884615384615385,0.6624405705229794,-0.5,0
Volkswagen Passat 1.8A TFSI Sunroof,46000.0,13050.0,136000.0,volkswagen,8.0,61,-0.41220238095238093,0.717948717948718,-0.3090332805071315,0.0,2
BMW 1 Series 116i Luxury,121800.0,16070.0,31800.0,bmw,4.0,7,0.7157738095238095,-0.617948717948718,0.16957210776545167,-1.0,1
Mercedes-Benz A-Class Saloon A200 Sport,120500.0,17270.0,59000.0,mercedes-benz,5.0,35,0.6964285714285714,-0.2692307692307692,0.35974643423137875,-0.75,0
Land Rover Range Rover Velar 2.0A Si4 R-Dynamic HSE Sunroof,166888.0,25040.0,98000.0,land,6.0,29,1.3867261904761905,0.23076923076923078,1.5911251980982568,-0.5,3
Toyota Estima 2.4A Aeras 8-Seater Moonroof,26800.0,20760.0,75498.0,toyota,10.0,58,-0.6979166666666666,-0.05771794871794872,0.9128367670364501,0.5,2
Mercedes-Benz E-Class E250 Edition E Sunroof,58988.0,20140.0,0.0,mercedes-benz,9.0,35,-0.21892857142857142,-1.0256410256410255,0.8145800316957211,0.25,0
Mazda CX-3 2.0A Deluxe,87800.0,14850.0,27000.0,mazda,5.0,34,0.20982142857142858,-0.6794871794871795,-0.02377179080824089,-0.75,0
BMW 1 Series 116d,29800.0,15250.0,102000.0,bmw,9.0,7,-0.6532738095238095,0.28205128205128205,0.039619651347068144,0.25,1
Mercedes-Benz G-Class 300GD (COE till 02/2033),84000.0,10190.0,0.0,mercedes-benz,2.0,35,0.15327380952380953,-1.0256410256410255,-0.7622820919175911,-1.5,0
Honda Freed 1.5A G,19800.0,11800.0,76000.0,honda,10.0,21,-0.8020833333333334,-0.05128205128205128,-0.5071315372424723,0.5,3
Mercedes-Benz C-Class C180 Avantgarde,41800.0,18040.0,83200.0,mercedes-benz,9.0,35,-0.47470238095238093,0.041025641025641026,0.48177496038034867,0.25,0
Audi A4 1.4A TFSI S-tronic,39800.0,14580.0,160000.0,audi,9.0,4,-0.5044642857142857,1.0256410256410255,-0.06656101426307448,0.25,1
Porsche Panamera 3.6A PDK (COE till 10/2032),152888.0,19290.0,108000.0,porsche,13.0,46,1.1783928571428572,0.358974358974359,0.6798732171156894,1.25,0
BMW X6 xDrive35i Sunroof,155000.0,27810.0,160000.0,bmw,7.0,7,1.2098214285714286,1.0256410256410255,2.030110935023772,-0.25,1
Mazda 2 HB 1.5A Standard,73500.0,11570.0,48653.0,mazda,5.0,34,-0.002976190476190476,-0.4018846153846154,-0.5435816164817749,-0.75,0
Hyundai Elantra 1.6A GLS S,46800.0,12110.0,104000.0,hyundai,7.0,23,-0.40029761904761907,0.3076923076923077,-0.45800316957210774,-0.25,3
Honda Shuttle 1.5A G LED,61800.0,12960.0,71000.0,honda,6.0,21,-0.17708333333333334,-0.11538461538461539,-0.3232963549920761,-0.5,3
Volkswagen Golf 1.4A TSI Comfortline,75800.0,13750.0,68000.0,volkswagen,6.0,61,0.03125,-0.15384615384615385,-0.19809825673534073,-0.5,2
Toyota Yaris Cross 1.5A G,135800.0,14550.0,29000.0,toyota,2.0,58,0.9241071428571429,-0.6538461538461539,-0.07131537242472266,-1.5,2
Nissan Qashqai 1.2A DIG-T,47800.0,11590.0,88700.0,nissan,7.0,40,-0.3854166666666667,0.11153846153846154,-0.5404120443740095,-0.25,0
Kia Cerato K3 1.6A EX,25800.0,11840.0,93000.0,kia,9.0,28,-0.7127976190476191,0.16666666666666666,-0.5007923930269413,0.25,3
BMW 5 Series 528i Luxury (New 10-yr COE),144800.0,14470.0,89500.0,bmw,10.0,7,1.0580357142857142,0.12179487179487179,-0.08399366085578447,0.5,1
Mercedes-Benz E-Class E250 Avantgarde,91800.0,22400.0,125000.0,mercedes-benz,8.0,35,0.2693452380952381,0.5769230769230769,1.172741679873217,0.0,0
Audi A6 Mild Hybrid 2.0A TFSI S-tronic Design,166666.0,21570.0,43000.0,audi,4.0,4,1.383422619047619,-0.47435897435897434,1.0412044374009508,-1.0,1
Honda Jazz 1.5A RS,26800.0,13040.0,100800.0,honda,9.0,21,-0.6979166666666666,0.26666666666666666,-0.31061806656101426,0.25,3
Mercedes-Benz CLA-Class CLA180 AMG Line,137800.0,18750.0,54701.0,mercedes-benz,4.0,35,0.9538690476190477,-0.32434615384615384,0.5942947702060222,-1.0,0
Nissan Qashqai 1.2A DIG-T,33800.0,11510.0,115000.0,nissan,8.0,40,-0.59375,0.44871794871794873,-0.5530903328050714,0.0,0
Kia Niro Hybrid 1.6A EX GDi DCT,141800.0,15430.0,12100.0,kia,2.0,28,1.0133928571428572,-0.8705128205128205,0.06814580031695722,-1.5,3
Volkswagen Golf R 5DR (COE till 03/2029),76000.0,17490.0,0.0,volkswagen,15.0,61,0.03422619047619048,-1.0256410256410255,0.39461172741679873,1.75,2
Audi A3 Sedan 1.4A TFSI Ambiente,18800.0,11310.0,79459.0,audi,10.0,4,-0.8169642857142857,-0.006935897435897436,-0.5847860538827259,0.5,1
Honda Vezel Hybrid 1.5A e:HEV X Honda Sensing,123800.0,17050.0,48000.0,honda,4.0,21,0.7455357142857143,-0.41025641025641024,0.3248811410459588,-1.0,3
Toyota Harrier 2.0A Elegance Panoramic Roof,63888.0,16380.0,95531.0,toyota,8.0,58,-0.14601190476190476,0.1991153846153846,0.21870047543581617,0.0,2
Peugeot 308 SW 1.2A PureTech Allure Glass Roof,21800.0,10280.0,105000.0,peugeot,9.0,44,-0.7723214285714286,0.32051282051282054,-0.7480190174326465,0.25,0
Toyota Vellfire 3.5A V (COE till 03/2029),59200.0,13620.0,0.0,toyota,16.0,58,-0.21577380952380953,-1.0256410256410255,-0.21870047543581617,2.0,2
MINI Cooper Clubman 1.6A (COE till 03/2030),65000.0,12170.0,144000.0,mini,15.0,37,-0.12946428571428573,0.8205128205128205,-0.44849445324881143,1.75,0
Honda City 1.5A SV,22800.0,12420.0,93000.0,honda,9.0,21,-0.7574404761904762,0.16666666666666666,-0.40887480190174325,0.25,3
Lexus IS Hybrid IS300h Executive,107800.0,22330.0,69295.0,lexus,7.0,30,0.5074404761904762,-0.13724358974358974,1.161648177496038,-0.25,0
Mitsubishi Lancer EX 1.6A,18800.0,13520.0,90000.0,mitsubishi,10.0,38,-0.8169642857142857,0.1282051282051282,-0.23454833597464342,0.5,0
Toyota Rav4 2.0A Premium,165800.0,18910.0,36200.0,toyota,3.0,58,1.3705357142857142,-0.5615384615384615,0.6196513470681458,-1.25,2
Hyundai i30 1.4A T-GDi DCT Turbo,82800.0,14020.0,81400.0,hyundai,5.0,23,0.13541666666666666,0.017948717948717947,-0.15530903328050713,-0.75,3
BMW X3 xDrive28i M-Sport Sunroof,72800.0,19550.0,95000.0,bmw,8.0,7,-0.013392857142857142,0.19230769230769232,0.7210776545166403,0.0,1
Toyota Corolla Altis 1.6A Classic (New 5-yr COE),68800.0,13750.0,61000.0,toyota,10.0,58,-0.07291666666666667,-0.24358974358974358,-0.19809825673534073,0.5,2
Mercedes-Benz GLA-Class GLA180,41800.0,18190.0,64000.0,mercedes-benz,9.0,35,-0.47470238095238093,-0.20512820512820512,0.5055467511885895,0.25,0
Ford Focus Wagon 1.0A GTDI Titanium,44444.0,10400.0,0.0,ford,7.0,20,-0.43535714285714283,-1.0256410256410255,-0.7290015847860539,-0.25,3
Honda Shuttle 1.5A G,44800.0,11250.0,0.0,honda,7.0,21,-0.43005952380952384,-1.0256410256410255,-0.5942947702060222,-0.25,3
Kia Carens Diesel 1.7A,52800.0,12990.0,85000.0,kia,7.0,28,-0.31101190476190477,0.0641025641025641,-0.3185419968304279,-0.25,3
Toyota Harrier 2.0A Elegance (New 10-yr COE),129800.0,12970.0,65000.0,toyota,10.0,58,0.8348214285714286,-0.19230769230769232,-0.32171156893819336,0.5,2
Honda HR-V 1.5A DX,34900.0,12810.0,106670.0,honda,9.0,21,-0.5773809523809523,0.34192307692307694,-0.347068145800317,0.25,3
Mercedes-Benz C-Class C200K (COE till 04/2029),44800.0,10120.0,0.0,mercedes-benz,16.0,35,-0.43005952380952384,-1.0256410256410255,-0.7733755942947702,2.0,0
Audi Q5 2.0A TFSI Quattro (COE till 09/2029),64800.0,13420.0,76000.0,audi,16.0,4,-0.1324404761904762,-0.05128205128205128,-0.25039619651347067,2.0,1
Mazda 3 Mild Hybrid 1.5A Classic,98800.0,12950.0,33872.0,mazda,3.0,34,0.37351190476190477,-0.5913846153846154,-0.3248811410459588,-1.25,0
Mercedes-Benz A-Class A170 (COE till 05/2028),36800.0,10480.0,0.0,mercedes-benz,16.0,35,-0.5491071428571429,-1.0256410256410255,-0.716323296354992,2.0,0
Mercedes-Benz GLA-Class GLA200 Urban Edition (New 10-yr COE),138800.0,13870.0,113000.0,mercedes-benz,10.0,35,0.96875,0.4230769230769231,-0.179080824088748,0.5,0
MINI One 1.6A (COE till 04/2026),16800.0,11790.0,165581.0,mini,14.0,37,-0.8467261904761905,1.0971923076923078,-0.508716323296355,1.5,0
Mercedes-Benz C-Class C180K (COE till 04/2031),68800.0,10810.0,74000.0,mercedes-benz,14.0,35,-0.07291666666666667,-0.07692307692307693,-0.6640253565768621,1.5,0
Mercedes-Benz A-Class Saloon A200 AMG Line,127800.0,18350.0,75188.0,mercedes-benz,5.0,35,0.8050595238095238,-0.06169230769230769,0.5309033280507132,-0.75,0
Lexus ES250 Luxury,158800.0,20920.0,95000.0,lexus,4.0,30,1.2663690476190477,0.19230769230769232,0.9381933438985737,-1.0,0
Polestar 2 Electric Standard Range Single Motor,185000.0,20590.0,20400.000000000007,polestar,2.0,45,1.65625,-0.764102564102564,0.8858954041204438,-1.5,0
Hyundai Elantra 1.6A GLS,49800.0,11800.0,98000.0,hyundai,7.0,23,-0.3556547619047619,0.23076923076923078,-0.5071315372424723,-0.25,3
Kia Cerato 1.6A GT Line Sunroof,83800.0,14800.0,78000.0,kia,6.0,28,0.15029761904761904,-0.02564102564102564,-0.03169572107765452,-0.5,3
Mercedes-Benz GLA-Class GLA200 AMG Line,64888.0,17030.0,108000.0,mercedes-benz,8.0,35,-0.13113095238095238,0.358974358974359,0.32171156893819336,0.0,0
Honda Civic 1.5A VTEC Turbo Sunroof,49800.0,15170.0,8663.0,honda,8.0,21,-0.3556547619047619,-0.9145769230769231,0.02694136291600634,0.0,3
Mercedes-Benz E-Class E250 Exclusive,133888.0,22610.0,81000.0,mercedes-benz,6.0,35,0.8956547619047619,0.01282051282051282,1.2060221870047543,-0.5,0
Volkswagen Golf 1.2A TSI,16888.0,12840.0,98000.0,volkswagen,10.0,61,-0.8454166666666667,0.23076923076923078,-0.34231378763866877,0.5,2
Mazda 3 1.5A Sunroof,36800.0,11110.0,117000.0,mazda,8.0,34,-0.5491071428571429,0.47435897435897434,-0.6164817749603804,0.0,0
Honda Shuttle 1.5A G Honda Sensing,74300.0,12970.0,71000.0,honda,5.0,21,0.008928571428571428,-0.11538461538461539,-0.32171156893819336,-0.75,3
BMW 7 Series 740Li Sunroof (New 10-yr COE),178888.0,17880.0,148000.0,bmw,10.0,7,1.565297619047619,0.8717948717948718,0.45641838351822506,0.5,1
Mercedes-Benz GLA-Class GLA200 AMG Line Sunroof,66388.0,20190.0,59000.0,mercedes-benz,8.0,35,-0.10880952380952381,-0.2692307692307692,0.8225039619651348,0.0,0
Toyota Rav4 Hybrid 2.5A X,182800.0,20630.0,35500.0,toyota,2.0,58,1.6235119047619047,-0.5705128205128205,0.8922345483359746,-1.5,2
MINI One 1.5A 5DR Carnaby Edition,87600.0,15890.0,80000.0,mini,6.0,37,0.20684523809523808,0.0,0.1410459587955626,-0.5,0
Volkswagen Touareg 3.0A R-Line,188800.0,22470.0,72000.0,volkswagen,5.0,61,1.712797619047619,-0.10256410256410256,1.1838351822503963,-0.75,2
Mercedes-Benz GLA-Class GLA180 Urban Edition,62800.0,17270.0,125000.0,mercedes-benz,8.0,35,-0.16220238095238096,0.5769230769230769,0.35974643423137875,0.0,0
Subaru Impreza 5D 1.6i-S Sunroof,38800.0,11390.0,100000.0,subaru,8.0,55,-0.5193452380952381,0.2564102564102564,-0.572107765451664,0.0,2
Mercedes-Benz C-Class C200 AMG Line,39888.0,18960.0,152000.0,mercedes-benz,10.0,35,-0.5031547619047619,0.9230769230769231,0.6275752773375595,0.5,0
Honda Civic Type-R 2.0M (COE till 11/2027),78888.0,26250.0,0.0,honda,18.0,21,0.07720238095238095,-1.0256410256410255,1.7828843106180665,2.5,3
Mercedes-Benz B-Class B200 Progressive,104800.0,18280.0,45000.0,mercedes-benz,6.0,35,0.46279761904761907,-0.44871794871794873,0.5198098256735341,-0.5,0
Kia Cerato 1.6A (OPC),55800.0,11020.0,52500.0,kia,6.0,28,-0.2663690476190476,-0.3525641025641026,-0.6307448494453248,-0.5,3
Honda Odyssey 2.4A EXV-S Sunroof,69900.0,18410.0,0.0,honda,8.0,21,-0.05654761904761905,-1.0256410256410255,0.5404120443740095,0.0,3
Toyota Harrier Turbo 2.0A M,75500.0,18090.0,0.0,toyota,7.0,58,0.026785714285714284,-1.0256410256410255,0.4896988906497623,-0.25,2
Honda Accord 2.0A VTi-S,51500.0,16180.0,99600.0,honda,8.0,21,-0.33035714285714285,0.2512820512820513,0.18700475435816163,0.0,3
Subaru Exiga 2.0A GT Moonroof (COE till 11/2028),52888.0,13280.0,172000.0,subaru,17.0,55,-0.30970238095238095,1.1794871794871795,-0.27258320126782887,2.25,2
Toyota Wish 1.8A XE (COE till 03/2029),42800.0,9980.0,188492.0,toyota,16.0,58,-0.45982142857142855,1.390923076923077,-0.7955625990491284,2.0,2
Toyota Raize 1.0A X,87000.0,12730.0,20497.0,toyota,4.0,58,0.19791666666666666,-0.7628589743589743,-0.35974643423137875,-1.0,2
Honda HR-V 1.5A DX,29888.0,11570.0,126000.0,honda,9.0,21,-0.6519642857142857,0.5897435897435898,-0.5435816164817749,0.25,3
Toyota Estima 2.4A X (COE till 03/2028),43888.0,13120.0,159000.0,toyota,17.0,58,-0.4436309523809524,1.0128205128205128,-0.2979397781299525,2.25,2
Volkswagen Scirocco 1.4A TSI (COE till 08/2026),16388.0,9410.0,148333.0,volkswagen,14.0,61,-0.8528571428571429,0.8760641025641026,-0.8858954041204438,1.5,2
Mazda 6 Wagon 2.5A Luxury Sunroof,45800.0,13200.0,107000.0,mazda,8.0,34,-0.41517857142857145,0.34615384615384615,-0.28526148969889065,0.0,0
